t,v
0.0,
0.004,0.26
0.008,0.27
0.012,0.27
0.016,0.27
0.02,0.27
0.024,0.27
0.027999999999999997,0.27
0.032,0.27
0.036000000000000004,0.27
0.04,0.27
0.044000000000000004,0.27
0.048,0.27
0.052000000000000005,0.27
0.055999999999999994,0.27
0.06,0.27
0.064,0.27
0.068,0.27
0.07200000000000001,0.27
0.076,0.27
0.08,0.27
0.084,0.27
0.08800000000000001,0.27
0.092,0.27
0.096,0.27
0.1,0.27
0.10400000000000001,0.27
0.10800000000000001,0.27
0.11199999999999999,0.27
0.11599999999999999,0.27
0.12,0.27
0.12400000000000001,0.27
0.128,0.27
0.132,0.27
0.136,0.27
0.14,0.27
0.14400000000000002,0.27
0.14800000000000002,0.27
0.152,0.27
0.156,0.27
0.16,0.27
0.16399999999999998,0.26
0.168,0.26
0.172,0.26
0.17600000000000002,0.26
0.18,1.2400000000000002
0.184,2.22
0.188,2.23
0.192,2.23
0.196,2.23
0.2,2.23
0.204,2.23
0.20800000000000002,2.23
0.212,2.23
0.21600000000000003,2.23
0.22,2.23
0.22399999999999998,2.23
0.228,2.23
0.23199999999999998,2.23
0.23600000000000002,2.23
0.24,2.23
0.244,2.23
0.24800000000000003,2.23
0.252,2.23
0.256,2.23
0.26,2.23
0.264,2.23
0.268,2.23
0.272,2.23
0.276,2.23
0.28,2.23
0.284,2.23
0.28800000000000003,2.23
0.292,2.23
0.29600000000000004,2.23
0.3,2.23
0.304,2.23
0.308,2.23
0.312,2.23
0.316,2.23
0.32,2.23
0.324,2.23
0.32799999999999996,2.23
0.332,2.23
0.336,2.23
0.34,2.23
0.344,2.23
0.348,2.23
0.35200000000000004,2.23
0.35600000000000004,2.23
0.36,2.23
0.364,2.23
0.368,2.23
0.37200000000000005,2.23
0.376,1.25
0.38,0.27
0.384,0.27
0.38799999999999996,0.27
0.392,0.27
0.396,0.27
0.4,0.27
0.40399999999999997,0.27
0.408,0.27
0.41200000000000003,0.27
0.41600000000000004,0.27
0.42,0.27
0.424,0.27
0.428,0.27
0.43200000000000005,0.27
0.436,0.27
0.44,0.27
0.444,0.27
0.44799999999999995,0.27
0.452,0.27
0.456,0.27
0.46,0.27
0.46399999999999997,0.27
0.46799999999999997,0.27
0.47200000000000003,0.27
0.47600000000000003,0.27
0.48,0.27
0.484,0.27
0.488,0.27
0.49200000000000005,0.27
0.49600000000000005,0.27
0.5,0.27
0.504,0.27
0.508,0.27
0.512,0.27
0.516,0.27
0.52,0.27
0.524,0.27
0.528,0.27
0.532,0.27
0.536,0.27
0.54,0.27
0.544,0.27
0.5479999999999999,0.27
0.552,0.27
0.556,0.27
0.56,0.27
0.564,0.27
0.568,0.26
0.5720000000000001,0.26
0.5760000000000001,-0.1
0.58,-0.1
0.584,-0.1
0.588,-0.11000000000000001
0.5920000000000001,-0.11000000000000001
0.596,-0.11000000000000001
0.6,-0.11000000000000001
0.604,-0.11000000000000001
0.608,-0.12
0.612,-0.12
0.616,-0.12
